2025-10-18 05:52:31 http://58.19.133.216:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:33 http://101.66.195.101:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:37 http://112.99.193.34:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:40 http://183.131.246.250:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:48 http://101.66.199.152:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:49 http://101.66.199.67:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:53:14 http://113.195.162.70:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：53 个 , 总频道：333 个 , 总进度：15.92%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：54 个 , 总频道：333 个 , 总进度：16.22%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：55 个 , 总频道：333 个 , 总进度：16.52%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：56 个 , 总频道：333 个 , 总进度：16.82%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：57 个 , 总频道：333 个 , 总进度：17.12%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：58 个 , 总频道：333 个 , 总进度：17.42%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：59 个 , 总频道：333 个 , 总进度：17.72%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：60 个 , 总频道：333 个 , 总进度：18.02%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：61 个 , 总频道：333 个 , 总进度：18.32%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：62 个 , 总频道：333 个 , 总进度：18.62%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：63 个 , 总频道：333 个 , 总进度：18.92%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：64 个 , 总频道：333 个 , 总进度：19.22%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：65 个 , 总频道：333 个 , 总进度：19.52%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：66 个 , 总频道：333 个 , 总进度：19.82%
